Americamysis bahia_acute,Americamysis bahia_chronic,Artemia salina_acute,Brachionus plicatilis_acute,Chaetogammarus marinus_acute,Crangon septemspinosa_acute,Crassostrea virginica_acute,Cyprinodon variegatus_acute,Cyprinodon variegatus_chronic,Danio rerio_chronic,Farfantepenaeus duorarum_acute,Fundulus heteroclitus_acute,Fundulus heteroclitus_chronic,Gadus morhua_chronic,Gasterosteus aculeatus_acute,Lepeophtheirus salmonis_acute,Lepomis macrochirus_acute,Litopenaeus vannamei_acute,Menidia beryllina_acute,Menidia menidia_acute,Mytilus galloprovincialis_chronic,Nitocra spinipes_acute,Oncorhynchus mykiss_chronic,Oncorhynchus mykiss_acute,Oryzias melastigma_chronic,Palaemonetes pugio_acute,Palaemonetes pugio_chronic,Palaemonetes sp._acute,Pimephales promelas_acute,Pimephales promelas_chronic,Raphidocelis subcapitata_acute,Rivulus marmoratus_chronic,Scolelepis fulginosa_acute,Skeletonema costatum_acute,Skeletonema costatum_chronic,Dunaliella tertiolecta_acute,Isochrysis galbana_acute,Phaeodactylum tricornutum_acute,smiles,duration,group
-3.958607315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,4,training
-5.214670166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CC(C)[C@H](C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,4,training
2.534026106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCCCNCCCCNCCCN,1,training
1.447158031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cc1cc(ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,4,training
0.361727836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCNc1nc(NC(C)C)nc(SC)n1,4,training
-0.397940009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,4,training
0.361727836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCCCCN=C(N)N.CC(=O)O,4,training
-2.316952962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,4,training
-2.060480747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,3,training
-3.48148606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)SCSCC,4,training
-3.823908741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4,training
-3.356547323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COP(=S)(OC)Oc1ccc(SC)c(C)c1,2,training
-3.251811973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COP(=S)(OC)Oc1ccc(SC)c(C)c1,4,training
-3.657577319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,4,training
1.31386722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=CCCCC=O,4,training
-0.744727495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,3,training
-1.726304412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCSP(=O)(OCC)SCCC,4,training
-3.397940009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCOP(=S)(OCC)SCSC(C)(C)C,4,training
